                          Results: Logit
==================================================================
Model:               Logit            Pseudo R-squared: 0.000     
Dependent Variable:  income_over_50   AIC:              25707.9858
Date:                2020-12-09 16:15 BIC:              25812.5044
No. Observations:    22923            Log-Likelihood:   -12841.   
Df Model:            12               LL-Null:          -12847.   
Df Residuals:        22910            LLR p-value:      0.51837   
Converged:           1.0000           Scale:            1.0000    
No. Iterations:      9.0000                                       
------------------------------------------------------------------
                   Coef.  Std.Err.    z     P>|z|   [0.025  0.975]
------------------------------------------------------------------
Federal-gov       -0.2616   0.0809  -3.2332 0.0012 -0.4203 -0.1030
hours_per_week     0.3869   0.0168  22.9981 0.0000  0.3539  0.4199
Self-emp-inc       0.1529   0.0775   1.9741 0.0484  0.0011  0.3047
Exec-managerial   -0.3814   0.0408  -9.3539 0.0000 -0.4613 -0.3014
Farming-fishing   -2.5772   0.1195 -21.5635 0.0000 -2.8115 -2.3430
Handlers-cleaners -2.8357   0.1341 -21.1518 0.0000 -3.0984 -2.5729
Machine-op-inspct -2.0757   0.0788 -26.3438 0.0000 -2.2301 -1.9212
Other-service     -3.0704   0.1017 -30.1920 0.0000 -3.2697 -2.8711
Priv-house-serv   -4.5180   1.0073  -4.4852 0.0000 -6.4923 -2.5437
Prof-specialty    -0.3986   0.0394 -10.1199 0.0000 -0.4757 -0.3214
Protective-serv   -1.0262   0.1011 -10.1508 0.0000 -1.2243 -0.8280
Tech-support      -0.9241   0.0840 -11.0020 0.0000 -1.0888 -0.7595
Married            0.2814   0.0255  11.0435 0.0000  0.2314  0.3313
==================================================================
